Book_Name|Author|Release_Date|Rating|Number_of_Review
Preaching: Communicating Faith in an Age of Skepticism|Timothy Keller|Jun 9, 2015|4.8|8
Happily Ali After: And Other Fairly True Tales|Ali Wentworth|Jun 9, 2015|4.5|21
Master the Boards USMLE Step 2 CK|Conrad Fischer MD|Jun 2, 2015|3.5|15
A God in Ruins: A Novel (Todd Family)|Kate Atkinson|May 5, 2015|4.3|176
Splendid Cities: Color Your Way to Calm|Rosie Goodwin and Alice Chadwick|Jun 9, 2015|3.8|15
Who Built That: Awe-Inspiring Stories of American Tinkerpreneurs|Michelle Malkin|May 19, 2015|4.5|63
Being Nixon: A Man Divided|Evan Thomas|Jun 16, 2015|3.8|6
Gut: The Inside Story of Our Body's Most Underrated Organ|Giulia Enders|May 24, 2015|4.3|19
On the Move: A Life|Oliver Sacks|Apr 28, 2015|4.6|143
Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary...|Peter Schweizer|May 5, 2015|4.3|516
Written in My Own Heart's Blood: A Novel (Outlander)|Diana Gabaldon|Jun 2, 2015|4.7|8,247
A Work in Progress: A Memoir|Connor Franta|Apr 21, 2015|4.9|253
The Silencing: How the Left is Killing Free Speech|Kirsten Powers|May 11, 2015|4.5|182
Station Eleven|Emily St. John Mandel|Jun 2, 2015|4.2|1,879
Outlander 4-Copy Boxed Set: Outlander, Dragonfly in Amber, Voyager, Drums of Autumn|Diana Gabaldon|Apr 28, 2015|4.8|40
Between You & Me: Confessions of a Comma Queen|Mary Norris|Apr 6, 2015|4|155
Do No Harm: Stories of Life, Death, and Brain Surgery|Henry Marsh|May 26, 2015|4.5|133
Miracle at Augusta|James Patterson and Peter de Jonge|Apr 6, 2015|3.4|250
Batman: Arkham Knight Collector's Edition|BradyGames|Jun 23, 2015||
TOX-SICK: From Toxic to Not Sick|Suzanne Somers|Apr 14, 2015|4.6|144
My Fight / Your Fight|Ronda Rousey and Maria Burns Ortiz|May 12, 2015|4.9|205
Everyday Detox: 100 Easy Recipes to Remove Toxins, Promote Gut Health, and Lose Weight Naturally|Megan Gilmore|Jun 2, 2015|4.9|44
The A Swing: The Alternative Approach to Great Golf|David Leadbetter and Ron Kaspriske|May 12, 2015|4.2|89
The Coloring Book: A Comedian Solves Race Relations in America|Colin Quinn|Jun 9, 2015|4.8|50
Pirate Hunters: Treasure, Obsession, and the Search for a Legendary Pirate Ship|Robert Kurson|Jun 16, 2015|4.7|89
Men in Green|Michael Bamberger|Apr 7, 2015|4.1|114
Piranha (The Oregon Files)|Clive Cussler and Boyd Morrison|May 26, 2015|4.7|331
The Gut Balance Revolution: Boost Your Metabolism, Restore Your Inner Ecology, and Lose the Weight for Good!|Gerard E. Mullin|Jun 9, 2015|4.6|27
The Shepherd's Life: Modern Dispatches from an Ancient Landscape|James Rebanks|May 12, 2015|4.5|49
The Art of Mad Max: Fury Road|Abbie Bernstein|May 19, 2015|4.3|29
The Hungry Girl Diet Cookbook: Healthy Recipes for Mix-n-Match Meals & Snacks|Lisa Lillien|Apr 28, 2015|4.5|98
In Real Life: My Journey to a Pixelated World|Joey Graceffa|May 19, 2015|4.9|158
Rand McNally 2016 Road Atlas (Rand Mcnally Road Atlas: United States, Canada, Mexico)|Rand McNall|Apr 17, 2015|4.8|24
Anything: The Prayer That Unlocked My God and My Soul|Jennie Allen|Jun 9, 2015|4.9|70
Pines (The Wayward Pines Series)|Blake Crouch|May 5, 2015|4.1|
David and Goliath: Underdogs, Misfits, and the Art of Battling Giants|Malcolm Gladwell|Apr 7, 2015|4.1|2,505
Palace of Treason: A Novel|Jason Matthews|Jun 2, 2015|4.4|90
Diary of a Minecraft Zombie Book 1: A Scare of A Dare (Volume 1)|Herobrine Books|Mar 26, 2015|4.5|
How Champions Think: In Sports and in Life|Dr. Bob Rotella and Bob Cullen|May 5, 2015|3.9|9
The Rocks: A Novel|Peter Nichols|May 26, 2015|3.8|43
Beach Town|Mary Kay Andrews|May 19, 2015|4.1|179
Dead Ice (Anita Blake, Vampire Hunter)|Laurell K. Hamilton|Jun 9, 2015|3.9|291
At the Water's Edge: A Novel|Sara Gruen|Mar 31, 2015|3.8|897
The Book of Proverbs Journal: One Chapter a Day|Courtney Joseph|May 11, 2015|4.2|42
Wicked Charms: A Lizzy and Diesel Novel (Lizzy & Diesel)|Janet Evanovich and Phoef Sutton|Jun 23, 2015|4.5|27
History of Fly-Fishing in Fifty Flies|Ian Whitelaw|Apr 7, 2015|4.9|10
Euphoria|Lily King|Apr 14, 2015|4.1|640
Brain Quest Workbook: Grade 5|Bridget Heos and Matt Rockefeller|May 5, 2015|4.9|9
The Plantpower Way: Whole Food Plant-Based Recipes and Guidance for The Whole Family|Rich Roll and Julie Piatt|Apr 28, 2015|4.9|227
Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead|Laszlo Bock|Apr 7, 2015|4.4|85
Missoula: Rape and the Justice System in a College Town|Jon Krakauer|Apr 21, 2015|4.2|396
The Art of Electronics|Paul Horowitz and Winfield Hill|Apr 9, 2015|4.8|64
500+ Practice Questions for the New SAT: Created for the Redesigned 2016 Exam (College Test Preparation)|Princeton Review|Apr 28, 2015|4|4
The Dadly Virtues: Adventures from the Worst Job You'll Ever Love|Jonathan V. Last and David Burge|May 18, 2015|4.5|11
Skyfaring: A Journey with a Pilot|Mark Vanhoenacker|Jun 2, 2015|4.5|31
The Walking Dead Volume 23: Whispers Into Screams|Robert Kirkman and Charlie Adlard|May 12, 2015|4.8|47
The Surrender Experiment: My Journey into Life's Perfection|Michael A. Singer|Jun 2, 2015|4.6|46
Climate Change: The Facts|J.Abbot and J.S. Armstrong|Apr 21, 2015|4.6|146
One-Pot Paleo: Simple to Make, Delicious to Eat and Gluten-free to Boot|Jenny Castaneda|May 26, 2015|4.7|28
Gathering Prey|John Sandford|Apr 28, 2015|4.6|2,133
The Secret of Golf: The Story of Tom Watson and Jack Nicklaus|Joe Posnanski|Jun 9, 2015|4.7|9
The Three Heavens: Angels, Demons and What Lies Ahead|John Hagee|May 12, 2015|4.8|138
The Residence: Inside the Private World of the White House|Kate Andersen Brower|Apr 7, 2015|4|708
The Melody Lingers On|Mary Higgins Clark|Jun 23, 2015||
I Will Take A Nap! (An Elephant and Piggie Book)|Mo Willems|Jun 2, 2015|4.5|13
Mere Christianity|C. S. Lewis and Kathleen Norris|Apr 21, 2015|4.6|2,087
When to Rob a Bank: ...And 131 More Warped Suggestions and Well-Intended Rants|Steven D. Levitt and Stephen J. Dubner|May 5, 2015|3.4|51
Adult Coloring Book: Stress Relieving Patterns Volume 2|Adult Coloring Book Artists|Apr 25, 2015|5|15
American Wife: A Memoir of Love, War, Faith, and Renewal|Taya Kyle and Jim DeFelice|May 4, 2015|4.9|272
Jacksonland: President Andrew Jackson, Cherokee Chief John Ross, and a Great American Land Grab|Steve Inskeep|May 19, 2015|4.7|15
A Curious Mind: The Secret to a Bigger Life|Brian Grazer and Charles Fishman|Apr 7, 2015|3.8|141
The Santangelos: A Novel|Jackie Collins|Jun 16, 2015|4.8|12
The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert|John Gottman Ph.D. and Nan Silver|May 5, 2015|4.7|13
The Badass Body Diet: The Breakthrough Diet and Workout for a Tight Booty, Sexy Abs, and Lean Legs|Christmas Abbott|May 12, 2015|3.6|94
ABA/AARP Checklist for My Family: A Guide to My History, Financial Plans and Final Wishes|Sally Balch Hurme|May 7, 2015|4.1|51
Once Upon a Time in Russia: The Rise of the OligarchsA True Story of Ambition, Wealth, Betrayal, and Murder|Ben Mezrich|Jun 2, 2015|3.8|10
Leaving Time (with bonus novella Larger Than Life): A Novel|Jodi Picoult|Apr 28, 2015|4.3|5,631
Getting Real|Gretchen Carlson|Jun 16, 2015|4.1|38
Kim Kardashian Selfish|Kim Kardashian West|May 5, 2015|2.2|613
The Fellowship: The Literary Lives of the Inklings: J.R.R. Tolkien, C. S. Lewis, Owen Barfield, Charles Williams|Philip Zaleski and Carol Zaleski|Jun 2, 2015|4.8|4
The Meursault Investigation|Kamel Daoud and John Cullen|Jun 2, 2015|4.2|6
The Book of Joan: Tales of Mirth, Mischief, and Manipulation|Melissa Rivers|May 5, 2015|4.4|340
Stalin's Daughter: The Extraordinary and Tumultuous Life of Svetlana Alliluyeva|Rosemary Sullivan|Jun 2, 2015|4.6|5
Harrison's Principles of Internal Medicine 19/E (Vol.1 & Vol.2)|Dennis Kasper and Anthony Fauci|Apr 8, 2015|3.9|24
Feeding the Fire: Recipes and Strategies for Better Barbecue and Grilling|Joe Carroll and Nick Fauchald|May 12, 2015|5|1
Things That Matter: Three Decades of Passions, Pastimes, and Politics|Charles Krauthammer|May 12, 2015|4.7|5,068
Target Tokyo: Jimmy Doolittle and the Raid That Avenged Pearl Harbor|James M. Scott|Apr 13, 2015|4.8|108
Who Gets What  and Why: The New Economics of Matchmaking and Market Design|Alvin E. Roth|Jun 2, 2015|4.6|30
If You Feel Too Much: Thoughts on Things Found and Lost and Hoped For|Jamie Tworkowski and Donald Miller|May 26, 2015|4.7|39
The Bone Tree (Penn Cage)|Greg Iles|Apr 21, 2015|4.4|992
Daddy, Stop Talking!: And Other Things My Kids Want But Won't Be Getting|Adam Carolla|May 26, 2015|4.5|36
The Knockoff: A Novel|Lucy Sykes and Jo Piazza|May 19, 2015|4.1|135
Bloodborne Collector's Edition Strategy Guide|Future Press|Apr 17, 2015|4.7|307
Theodore Boone: the Fugitive|John Grisham|May 12, 2015|4|235
Molina: The Story of the Father Who Raised an Unlikely Baseball Dynasty|Bengie Molina and Joan Ryan|May 12, 2015|5|19
Hope: A Memoir of Survival in Cleveland|Amanda Berry and Gina DeJesus|Apr 27, 2015|4.7|938
God Help the Child: A novel|Toni Morrison|Apr 21, 2015|4|310
Billy Martin: Baseball's Flawed Genius|Bill Pennington|Apr 7, 2015|4.5|98
The Water Knife: A novel|Paolo Bacigalupi|May 26, 2015|4.1|97
Life Is Short (No Pun Intended): Love, Laughter, and Learning to Enjoy Every Moment|Jennifer Arnold MD and Bill Klein|May 26, 2015|4.9|103
Peru: The Cookbook|Gastón Acurio|May 18, 2015|4.2|26
Eight Hundred Grapes: A Novel|Laura Dave|Jun 2, 2015|4.2|79
Undemocratic: How Unelected, Unaccountable Bureaucrats Are Stealing Your Liberty and Freedom|Jay Sekulow|May 19, 2015|4.9|107
By the People: Rebuilding Liberty Without Permission|Charles Murra|May 12, 2015|4|30
The Gold Standard: Rules to Rule By|Ari Gold|May 12, 2015|4.5|41
Vegan Richa's Indian Kitchen: Traditional and Creative Recipes for the Home Cook|Richa Hingle|May 19, 2015|5|70
Brain Quest Workbook: Grade 6|Persephone Walker and Nick Thornborrow|May 5, 2015|4.6|7
Maangchi's Real Korean Cooking: Authentic Dishes for the Home Cook|Maangchi|May 19, 2015|4.9|60
Truth or Die|James Patterson and Howard Roughan|Jun 22, 2015|4.2|5
Pedro|Pedro Martinez and Michael Silverman|May 5, 2015|4.3|53
The Mindfulness Coloring Book: Anti-Stress Art Therapy for Busy People|Emma Farrarons|Jun 2, 2015|3.9|16
Beautiful Sacrifice: A Novel (Maddox Brothers) (Volume 3)|Jamie McGuire|May 31, 2015|4.4|414
The Fixer|Joseph Finder|Jun 9, 2015|4.2|87
Awesome Sh*t My Drill Sergeant Said: Wit and Wisdom from America's Finest|Dan Cadd|Jun 9, 2015|4.6|47
The Summer's End (Lowcountry Summer)|Mary Alice Monroe|May 19, 2015|4.9|250
The Blue Zones Solution: Eating and Living Like the World's Healthiest People|Dan Buettner|Apr 7, 2015|4.6|79
The Better Man Project: 2,476 tips and techniques that will flatten your belly, sharpen your mind, and keep you...|Bill Phillips|Jun 2, 2015|3.4|7
Among Heroes: A U.S. Navy SEAL's True Story of Friendship, Heroism, and the Ultimate Sacrifice|Brandon Webb and John David Mann|May 26, 2015|4.8|66
The World of the Witcher|CD Projekt Red|May 19, 2015|4.9|23
Blackout: Remembering the Things I Drank to Forget|Sarah Hepola|Jun 23, 2015|4.2|14
Deal: My Three Decades of Drumming, Dreams, and Drugs with the Grateful Dead|Bill Kreutzmann and Benjy Eisen|May 5, 2015|4.3|94
Audrey at Home: Memories of My Mother's Kitchen|Luca Dotti|Jun 16, 2015|5|2
The Seven Good Years: A Memoir|Etgar Keret|Jun 16, 2015|4.3|28
Ty Cobb: A Terrible Beauty|Charles Leerhsen|May 12, 2015|4.4|27
Altruism: The Power of Compassion to Change Yourself and the World|Matthieu Ricard|Jun 2, 2015|5|4
Milepost 2015|Kris Valencia|Apr 1, 2015|4.8|99
The Mindful Athlete: Secrets to Pure Performance|George Mumford and Phil Jackson|May 12, 2015|4.7|15
You Deserve a Drink: Boozy Misadventures and Tales of Debauchery|Mamrie Hart|May 26, 2015|5|131
The Great War of Our Time: The CIA's Fight Against Terrorism--From al Qa'ida to ISIS|Michael Morell and Bill Harlow|May 12, 2015|4.5|104
The 30-Day Heart Tune-Up: A Breakthrough Medical Plan to Prevent and Reverse Heart Disease|Steven Masley and Douglas D. Schocken|Apr 21, 2015|4.5|315
P.S. I Still Love You|Jenny Han|May 26, 2015|4.6|80
China Rich Girlfriend: A Novel|Kevin Kwan|Jun 16, 2015|3.6|37
Baby Bargains: Secrets to Saving 20% to 50% on baby furniture, gear, clothes, strollers, maternity wear and much...|Denise Fields and Alan Fields|Apr 18, 2015|4.8|31
Ultimate Star Wars|Ryder Windham and Adam Bra|Apr 28, 2015|4.6|34
Saint Mazie: A Novel|Jami Attenberg|Jun 2, 2015|3.6|35
Book of Numbers: A Novel|Joshua Cohen|Jun 9, 2015|3|16
The Screwtape Letters|C. S. Lewis|Apr 21, 2015|4.6|1,512
An Ember in the Ashes|Sabaa Tahir|Apr 28, 2015|4.5|324
The New One Minute Manager|Ken Blanchard and Johnson, Spencer, M.D.|May 5, 2015|4.4|40
Yoga for Life: A Journey to Inner Peace and Freedom|Colleen Saidman Yee and Rodney Yee|Jun 2, 2015|5|20
Me and Earl and the Dying Girl (Revised Edition)|Jesse Andrews|Apr 21, 2015|3.5|72
Revival: A Novel|Stephen King|May 5, 2015|3.9|4,351
Kaplan PCAT 2015-2016 Strategies, Practice, and Review with 2 Practice Tests: Book + Online (Kaplan Test Prep)|Kaplan|May 5, 2015|4.6|5
The Quiet Man: The Indispensable Presidency of George H.W. Bush|John H. Sununu|Jun 9, 2015|5|2
Princes of the Apocalypse (D&D Accessory)|Wizards RPG Team|Apr 7, 2015|4.7|41
No Better Friend: One Man, One Dog, and Their Extraordinary Story of Courage and Survival in WWII|Robert Weintrau|May 5, 2015|4.7|13
Hiding in the Light: Why I Risked Everything to Leave Islam and Follow Jesus|Rifqa Bar|May 19, 2015|4.9|199
Lonely Planet Iceland (Travel Guide)|Lonely Planet and Carolyn Bain|Jun 1, 2015|4.4|5
End of Discussion: How the Left's Outrage Industry Shuts Down Debate, Manipulates Voters, and Makes America Less...|Mary Katharine Ham and Guy Benson|Jun 9, 2015|4.2|28
On the Path of the Immortals: Exo-Vaticana, Project L. U. C. I. F. E. R. , and the Strategic Locations Where Entities...|Horn and Thomas|Jun 1, 2015|4.8|73
Tokyo Ghoul, Vol. 1|Sui Ishida|Jun 16, 2015|4.9|28
The Truth According to Us: A Novel|Annie Barrows|Jun 9, 2015|4.2|59
Superpower: Three Choices for America's Role in the World|Ian Bremmer|May 19, 2015|4.2|47
The Adobe Photoshop Lightroom CC Book for Digital Photographers (Voices That Matter)|Scott Kel|May 9, 2015|4.6|27
Dry Bones: A Walt Longmire Mystery (Walt Longmire Mysteries)|Craig Johnson|May 12, 2015|4.6|451
Good Night Yoga: A Pose-by-Pose Bedtime Story|Mariam Gates and Sara Jane Hinder|Apr 1, 2015|4.8|60
Nursing2016 Drug Handbook (Nursing Drug Handbook)|Lippincott|May 8, 2015|4.5|8
Kaplan New PSAT/NMSQT Strategies, Practice and Review with 2 Practice Tests: Book + Online (Kaplan Test Prep)|Kaplan|Jun 2, 2015|3.2|5
Paleo Takeout: Restaurant Favorites Without the Junk|Russ Crandall|Jun 23, 2015|5|5
Secret Paris: Color Your Way to Calm|Zoe de Las Cases|Jun 9, 2015|4.6|9
The Naked Roommate: And 107 Other Issues You Might Run Into in College (Naked Roomate)|Harlan Cohen|Apr 1, 2015|3.5|2
Beauty in the Bible: Adult Coloring Book|Adult Coloring Book Artists|May 24, 2015|5|11
Blue Book of Gun Values 36th Edition|S.P. Fjestad|Apr 1, 2015|4.8|49
Kaplan GMAT Premier 2016 with 6 Practice Tests: Book + Online + DVD + Mobile (Kaplan Test Prep)|Kaplan|May 5, 2015|2.8|4
I Wish You More|Amy Krouse Rosenthal and Tom Lichtenheld|Mar 31, 2015|4.9|26
The Forgotten Room: A Novel|Lincoln Child|May 12, 2015|4.1|278
The House of Hades (The Heroes of Olympus, Book Four)|Rick Riordan|Mar 31, 2015|4.7|4,059
The Liar|Nora Roberts|Apr 14, 2015|4.3|2,437
All the Light We Cannot See: A Novel|Anthony Doerr|May 6, 2014|4.6|13,857
LEGO Star Wars Character Encyclopedia: Updated and Expanded|DK Publishing|Apr 28, 2015|4.8|302
Royal Wedding: A Princess Diaries Novel|Meg Cabot|Jun 2, 2015|4.2|48
Robert B. Parker's Kickback (Spenser)|Ace Atkins|May 19, 2015|4.1|183
The Invasion of the Tearling: A Novel (Queen of the Tearling, The)|Erika Johansen|Jun 9, 2015|4.3|35
The Narrow Road to the Deep North|Richard Flanagan|Apr 14, 2015|4.3|1,197
How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines|Thomas C. Foster|Jun 3, 2015|4.2|425
The Vacationers: A Novel|Emma Strau|Jun 2, 2015|3.2|906
The Familiar, Volume 1: One Rainy Day in May|Mark Z. Danielewski|May 12, 2015|3.7|35
Automate the Boring Stuff with Python: Practical Programming for Total Beginners|Albert Sweigart|May 1, 2015|4.9|31
The Cartel: A novel|Don Winslow|Jun 23, 2015|4.4|18
Radical Self Love: A Guide to Loving Yourself and Living Your Dream|Gala Darling|Jun 16, 2015|5|6
The Scarlet Letter|Nathaniel Hawthorne|May 7, 2015|4.6|79
Change Me Prayers: The Hidden Power of Spiritual Surrender|Tosha Silver and Lissa Rankin  M.D.|May 19, 2015|4.9|54
Maximum Ride Forever|James Patterson|May 18, 2015|4.5|123
A Court of Thorns and Roses|Sarah J. Maas|May 5, 2015|4.7|399
The Goddess Pose: The Audacious Life of Indra Devi, the Woman Who Helped Bring Yoga to the West|Michelle Goldberg|Jun 9, 2015|4|21
The Darkling Child: The Defenders of Shannara|Terry Brooks|Jun 9, 2015|4|66
Saint Anything|Sarah Dessen|May 5, 2015|4.6|136
Your Strategy Needs a Strategy: How to Choose and Execute the Right Approach|Martin Reeves and Knut Haanaes|Jun 9, 2015|4.9|11
Zoo|James Patterson and Michael Ledwidge|May 26, 2015|3.4|2,369
The Festival of Insignificance: A Novel|Milan Kundera|Jun 23, 2015||
Color Therapy: An Anti-Stress Coloring Book|Cindy Wilde and Laura-Kate Chapman|May 26, 2015|4.1|48
Toddlers Are A**holes: It's Not Your Fault|Bunmi Laditan|Apr 7, 2015|4.7|419
The New Bohemians: Cool and Collected Homes|Justina Blakene|Apr 14, 2015|4.9|31
Rise of the Robots: Technology and the Threat of a Jobless Future|Martin Ford|May 5, 2015|4.3|31
The League of Regrettable Superheroes: Half-Baked Heroes from Comic Book History|Jon Morris|Jun 2, 2015|4.7|7
Black ButterFly|Robert M. Drake|Apr 2, 2015|4.8|23
The One (The Selection)|Kiera Cass|May 5, 2015|4.6|2,193
Not a Game: The Incredible Rise and Unthinkable Fall of Allen Iverson|Kent Ba|Jun 2, 2015|4.8|11
The Pain Cure Rx: The Yass Method for Diagnosing and Resolving Chronic Pain|Mitchell Yass|Jun 2, 2015|4|8
Summer Secrets: A Novel|Jane Green|Jun 23, 2015|3.9|34
Uprooted|Naomi Novik|May 19, 2015|4.5|220
Llama Llama Sand and Sun|Anna Dewdne|May 19, 2015|4.7|12
CompTIA Network+ All-In-One Exam Guide, Sixth Edition (Exam N10-006)|Mike Meyers|May 18, 2015|4.4|7
Ashley's War: The Untold Story of a Team of Women Soldiers on the Special Ops Battlefield|Gayle Tzemach Lemmon|Apr 21, 2015|4.7|195
What Does the Bible Really Teach about Homosexuality?|Kevin DeYoung|Apr 30, 2015|4.7|69
Hope to Die (Alex Cross)|James Patterson|May 19, 2015|4.6|3,424
Social Security For Dummies|Jonathan Peterson|Mar 30, 2015|4.5|107
The Constitution: An Introduction|Michael Stokes Paulsen and Luke Paulsen|May 5, 2015|4.7|7
The Official John Wayne Way to Grill: Great Stories & Manly Meals Shared By Duke's Family|Editors of John Wayne Magazine|May 5, 2015|5|30
Creative Schools: The Grassroots Revolution Thats Transforming Education|Ken Robinson and Lou Aronica|Apr 21, 2015|4.7|21
LEGO Jurassic World: Prima Official Game Guide (Prima Official Game Guides)|Rick Barba|Jun 12, 2015|5|2
